Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
0,0,/home/federico/galuppi-perez/data/corpus/xml/Ale01M-E_prezzo-1738-Galuppi[1.01][1262].xml,Ale,Ale01M,E_prezzo,1,01,101,1738,1730s,Baldassare Galuppi,Gandarte,Male,1
1,0,/home/federico/galuppi-perez/data/corpus/xml/Ale01M-E_prezzo-1749-Perez[1.01][1341].xml,Ale,Ale01M,E_prezzo,1,01,101,1749,1740s,Davide Perez,Gandarte,Male,1
2,0,/home/federico/galuppi-perez/data/corpus/xml/Ale01M-E_prezzo-1752-Perez[1.01][1053].xml,Ale,Ale01M,E_prezzo,1,01,101,1752,1750s,Davide Perez,Gandarte,Male,1
3,0,/home/federico/galuppi-perez/data/corpus/xml/Ale01M-E_prezzo-1755-Galuppi[1.01][0668].xml,Ale,Ale01M,E_prezzo,1,01,101,1755,1750s,Baldassare Galuppi,Gandarte,Male,1
4,0,/home/federico/galuppi-perez/data/corpus/xml/Ale02M-Vedrai_con-1738-Galuppi[1.02][1263].xml,Ale,Ale02M,Vedrai_con,1,02,102,1738,1730s,Baldassare Galuppi,Poro,Male,1
5,0,/home/federico/galuppi-perez/data/corpus/xml/Ale02M-Vedrai_con-1749-Perez[1.02][1342].xml,Ale,Ale02M,Vedrai_con,1,02,102,1749,1740s,Davide Perez,Poro,Male,1
6,0,/home/federico/galuppi-perez/data/corpus/xml/Ale02M-Vedrai_con-1752-Perez[1.02][1054].xml,Ale,Ale02M,Vedrai_con,1,02,102,1752,1750s,Davide Perez,Poro,Male,1
7,0,/home/federico/galuppi-perez/data/corpus/xml/Ale02M-Vedrai_con-1755-Galuppi[1.02][0669].xml,Ale,Ale02M,Vedrai_con,1,02,102,1755,1750s,Baldassare Galuppi,Poro,Male,1
8,0,/home/federico/galuppi-perez/data/corpus/xml/Ale02M-Vedrai_con-1755-Perez[1.02][0690].xml,Ale,Ale02M,Vedrai_con,1,02,102,1755,1750s,Davide Perez,Poro,Male,1
9,0,/home/federico/galuppi-perez/data/corpus/xml/Ale03M-Vil_trofeo-1738-Galuppi[1.03][1266].xml,Ale,Ale03M,Vil_trofeo,1,03,103,1738,1730s,Baldassare Galuppi,Alessandro,Male,1
