Id,Form,Character,Gender,RoleType,City,Territory
0001,Dal segno,Didone,Male,Prima donna,Naples,Italy
0002,Dal segno,Didone,Male,Prima donna,Rome,Italy
0003,Da capo,Didone,Male,Prima donna,Naples,Italy
0004,recit,Enea,Male,Primo soprano,Naples,Italy
0005,Dal segno,Selene,Male,Seconda donna,Naples,Italy
0006,Dal segno,Didone,Male,Prima donna,Naples,Italy
0007,Dal segno,Didone,Male,Prima donna,Naples,Italy
0008,Dal segno,Didone,Male,Prima donna,Padua,Italy
0009,Da capo,Didone,Male,Prima donna,Padua,Italy
0010,Dal segno,Didone,Male,Prima donna,Venice,Italy
0011,Da capo,Didone,Male,Prima donna,Venice,Italy
0012,Dal segno,Didone,Male,Prima donna,Wermsdorf,Empire
0013,Dal segno,Didone,Male,Prima donna,Wermsdorf,Empire
0014,Da capo,Didone,Male,Prima donna,Rome,Italy
0015,Da capo,Didone,Male,Prima donna,Rome,Italy
0016,Dal segno,Didone,Male,Prima donna,Vienna,Empire
0017,Dal segno,Didone,Male,Prima donna,Genoa,Italy
0018,ABA,Didone,Male,Prima donna,Copenhagen,Empire
0019,Dal segno,Didone,Male,Prima donna,Stuttgart,Empire
0020,Dal segno,Didone,Male,Prima donna,Venice,Italy
0021,AB,Didone,Male,Prima donna,Venice,Italy
0022,Dal segno,Didone,Male,Prima donna,Wermsdorf,Empire
0023,Da capo,Selene,Male,Seconda donna,Naples,Italy
0024,Da capo,Araspe,Male,Secondo uomo,Naples,Italy
0025,recit,Enea,Male,Primo soprano,Padua,Italy
0026,Dal segno,Osmida,Male,Parte ultima,Padua,Italy
0027,Dal segno,Iarba,Male,Tenore,Padua,Italy
0028,Dal segno,Enea,Male,Primo soprano,Padua,Italy
0029,recit,Enea,Male,Primo soprano,Venice,Italy
0030,Dal segno,Selene,Male,Seconda donna,Venice,Italy
0031,Da capo,Didone,Male,Prima donna,Rome,Italy
0032,Da capo,Didone,Male,Prima donna,Vienna,Italy
0033,Dal segno,Didone,Male,Prima donna,Genoa,Italy
0034,Dal segno,Didone,Male,Prima donna,Genoa,Italy
0035,Da capo,Didone,Male,Prima donna,Venice,Italy
0036,ABA,Didone,Male,Prima donna,Copenhagen,Empire
0037,Dal segno,Didone,Male,Prima donna,Venice,Italy
0038,Dal segno,Didone,Male,Prima donna,Prague,Empire
0039,Dal segno,Didone,Male,Prima donna,Prague,Empire
0040,Dal segno,Didone,Male,Prima donna,Venice,Italy
0041,Dal segno,Didone,Male,Prima donna,Rome,Italy
0042,Dal segno,Didone,Male,Prima donna,Rome,Italy
0043,ABA,Didone,Male,Prima donna,Venice,Italy
0044,ABA,Didone,Male,Prima donna,Venice,Italy
0045,AB,Didone,Male,Prima donna,Venice,Italy
0046,Da capo,Araspe,Male,Secondo uomo,Naples,Italy
0047,ABA,Didone,Male,Prima donna,Naples,Italy
0048,Dal segno,Didone,Male,Prima donna,Vienna,Empire
0049,Da capo,Didone,Male,Prima donna,Copenhagen,Empire
0050,Dal segno,Didone,Male,Prima donna,Stuttgart,Empire
0051,Dal segno,Didone,Male,Prima donna,Stuttgart,Empire
0052,ABA,Didone,Male,Prima donna,Naples,Italy
0053,Dal segno,Didone,Male,Prima donna,Venice,Italy
0054,Dal segno,Selene,Male,Seconda donna,Padua,Italy
0055,Dal segno,Osmida,Male,Parte ultima,Naples,Italy
0056,Da capo,Iarba,Male,Tenore,Naples,Italy
0057,Dal segno,Enea,Male,Primo soprano,Naples,Italy
0058,Da capo,Selene,Male,Seconda donna,Naples,Italy
0059,Dal segno,Iarba,Male,Tenore,Naples,Italy
0060,Da capo,Iarba,Male,Tenore,Naples,Italy
0061,Dal segno,Enea,Male,Primo soprano,Naples,Italy
0062,Dal segno,Osmida,Male,Parte ultima,Naples,Italy
0063,Dal segno,Iarba,Male,Tenore,Naples,Italy
0064,Da capo,Araspe,Male,Secondo uomo,Naples,Italy
0065,Dal segno,Enea,Male,Primo soprano,Naples,Italy
0066,Da capo,Selene,Male,Seconda donna,Naples,Italy
0067,Dal segno,Iarba,Male,Tenore,Naples,Italy
0068,Dal segno,Araspe,Male,Secondo uomo,Naples,Italy
0069,Dal segno,Osmida,Male,Parte ultima,Naples,Italy
0070,AB,Iarba,Male,Tenore,Padua,Italy
0071,Dal segno,Araspe,Male,Secondo uomo,Padua,Italy
0072,Da capo,Enea,Male,Primo soprano,Padua,Italy
0073,Dal segno,Osmida,Male,Parte ultima,Padua,Italy
0074,Dal segno,Enea,Male,Primo soprano,Padua,Italy
0075,Dal segno,Osmida,Male,Parte ultima,Venice,Italy
0076,Dal segno,Araspe,Male,Secondo uomo,Venice,Italy
0077,Da capo,Enea,Male,Primo soprano,Venice,Italy
0078,Dal segno,Iarba,Male,Tenore,Venice,Italy
0079,ABAB,Didone,Male,Prima donna,Naples,Italy
0080,Dal segno,Timante,Male,Primo soprano,Naples,Italy
0081,Da capo,Timante,Male,Primo soprano,Padua,Italy
0082,Dal segno,Timante,Male,Primo soprano,Munich,Italy
0083,Dal segno,Timante,Male,Primo soprano,Dresden,Empire
0086,Da capo,Dircea,Male,Prima donna,Naples,Italy
0087,Dal segno,Timante,Male,Primo soprano,Milan,Italy
0088,Da capo,Timante,Male,Primo soprano,Turin,Italy
0089,Dal segno,Timante,Male,Primo soprano,Padua,Italy
